Rank,Team,Name,Nr,Pos,Spiele,Assists
355,SC Borsigwalde 1910,Firat Yildirim,15,ZDM,15,0
356,SV Stern Britz 1889,Marcel Frobenius,37,RV,17,0
357,FC Internationale Berlin 1980,Stefan Nicola,NA,NA,0,0
358,Türkiyemspor Berlin,Florian Nikolai Thalhofer,17,RV,19,0
359,BFC Preussen II,Alexander Gajda,14,RV,13,0
360,BFC Preussen II,Nils Szerwinski,21,ST,12,0
361,VfB Concordia Britz 1916,Malte Meißner,33,TW,12,0
362,SC Borsigwalde 1910,Khaled El-Okkla,27,IV,21,0
363,SV Stern Britz 1889,Tommes Diallo,2,RV,7,0
364,BFC Meteor 06,Marcos Terzopulos-Koutsoubas,5,RV,3,0
365,SV Stern Britz 1889,Dennis Pyplatz,24,ZDM,25,0
366,BFC Preussen II,Omar Hajjaj,NA,ZDM,2,0
367,SC Borsigwalde 1910,David Chukwu,NA,LV,13,0
368,FC Internationale Berlin 1980,Moreno Schneider,19,RM,18,0
369,FSV Berolina Stralau 1901,Leeroy-Life Leffke,13,NA,9,0
370,Türkiyemspor Berlin,Ferhat Ömür,68,TW,4,0
371,VfB Concordia Britz 1916,Nico Hasenbank,NA,ZM,2,0
372,VfB Concordia Britz 1916,Benedikt Schmidtmann,23,RV,24,0
373,VfB Concordia Britz 1916,Arne-Luca Auctun,19,IV,19,0
374,FC Viktoria 1889 Berlin II,Marvin Knape,20,RV,7,0
375,Köpenicker FC,Luca Carius,6,IV,22,0
376,Berliner SC II,Stephan Ngah,NA,RM,1,0
377,BFC Preussen II,Meiko Hesse,6,ZDM,18,0
378,FC Viktoria 1889 Berlin II,Johannes Schwarz,NA,ZM,6,0
379,FSV Berolina Stralau 1901,Alfredo-Manuel Villanueva Bravo,10,LM,3,0
380,BSV Eintracht Mahlsdorf II,Julian Bufe,NA,NA,0,0
381,Köpenicker FC,Tom Rostock,NA,RM,9,0
382,Berliner SC II,Mehdi Jebali,NA,IV,1,0
383,FC Viktoria 1889 Berlin II,Jeremy Herrmann,26,ZDM,21,0
384,FC Viktoria 1889 Berlin II,Lukas-Noah Littler,2,IV,15,0
385,FC Viktoria 1889 Berlin II,Mirko Wach,NA,NA,0,0
386,Berliner SC II,Bryan Lilja,18,LM,10,0
387,Türkiyemspor Berlin,Kenan Özen,6,ZDM,18,0
388,BFC Preussen II,Guilherme Henrique Lopes De Oliveira,NA,NA,0,0
389,FSV Berolina Stralau 1901,Milan Stricker,NA,ST,11,0
390,FSV Berolina Stralau 1901,Georg Schönfelder,3,IV,24,0
391,Köpenicker FC,Anton Neumann,14,ZM,12,0
392,VfB Concordia Britz 1916,Amir-Mohamad Yassine,26,LM,11,0
393,VfB Concordia Britz 1916,Aykut Tezel,NA,ST,3,0
394,BSV Al-Dersimspor,Zana-Kazim Baba,NA,ST,8,0
395,Türkiyemspor Berlin,Tolgahan Can Eskin,21,LM,5,0
396,BSV Eintracht Mahlsdorf II,Björn Heydemann,NA,ST,2,0
397,Köpenicker FC,Tom-Niclas Hamann,23,IV,19,0
398,TSV Rudow Berlin,Jonas Becker,3,IV,24,0
399,Türkiyemspor Berlin,Tamer Emre Ertürkler,17,ST,8,0
400,Berliner SC II,Jesse Kreuschner,31,TW,9,0
401,FC Viktoria 1889 Berlin II,Vito Everett Dieckert,9,ZDM,16,0
402,Köpenicker FC,Tim Höfer,NA,TW,1,0
403,Berliner SV 1892,Chidera Iwuozor,6,LM,10,0
404,VfB Concordia Britz 1916,Maximilian Höhle,20,ST,15,0
405,FC Viktoria 1889 Berlin II,Lucien Littbarski,NA,ZOM,1,0
406,TSV Rudow Berlin,Elias Burda,13,IV,26,0
407,BFC Preussen II,Amir Sassi,NA,NA,0,0
408,SV Stern Britz 1889,Stephane Franklin Yoko,12,NA,1,0
409,FSV Berolina Stralau 1901,Noah Maiß,21,ZM,7,0
